layer,rel_bin,rel_bin_mid,is_correct,rollouts,mean,se
24,0,0.05,False,594,93.34948265368757,0.06305177686535267
24,1,0.15,False,129,92.55344167941753,0.16426900322169566
24,2,0.25,False,271,93.04104981291826,0.09886044859604318
24,3,0.35,False,329,92.65260472457798,0.08608767028166626
24,4,0.45,False,153,92.52214179158324,0.1263664550653622
24,5,0.55,False,340,92.54707323801836,0.0833025093612681
24,6,0.65,False,367,92.24833452831679,0.07537340594889579
24,7,0.75,False,233,92.27273058463305,0.10700895361193143
24,8,0.85,False,167,92.19973580405374,0.12160444839875248
24,9,0.95,False,594,91.45214586044875,0.0583394110620376
24,0,0.05,True,1010,93.35383886627584,0.047541813182895416
24,1,0.15,True,188,92.58282572195624,0.13176154085979558
24,2,0.25,True,395,92.96845191663849,0.08575695194552312
24,3,0.35,True,536,92.64245658111344,0.06688520204901804
24,4,0.45,True,213,92.28216758626074,0.11502003864175854
24,5,0.55,True,574,92.5896188913853,0.06612546570469567
24,6,0.65,True,585,92.25415727808695,0.06177480999443995
24,7,0.75,True,346,92.17854112892829,0.08687725136220414
24,8,0.85,True,237,92.09126641347369,0.11078284223722132
24,9,0.95,True,1010,91.53516230957484,0.047049950462789744
36,0,0.05,False,594,92.08617976025273,0.19715980236126823
36,1,0.15,False,129,93.98179174283749,0.44964752313460904
36,2,0.25,False,271,92.66384465343516,0.2795088140796367
36,3,0.35,False,329,92.87688331088816,0.25769111638175207
36,4,0.45,False,153,93.74478116369959,0.3468049520981964
36,5,0.55,False,340,92.32576576000925,0.2227278824175506
36,6,0.65,False,367,92.40087321202847,0.22716904515831207
36,7,0.75,False,233,92.21652049202444,0.2846429480685545
36,8,0.85,False,167,92.3640614627196,0.3247309431010344
36,9,0.95,False,594,92.47139892811123,0.2775566838503731
36,0,0.05,True,1010,92.12107365257624,0.15768499539046124
36,1,0.15,True,188,92.58314663738577,0.4454424172425142
36,2,0.25,True,395,92.67935016273508,0.2619128908262142
36,3,0.35,True,536,92.55645082968547,0.20260280216764692
36,4,0.45,True,213,93.01964191255173,0.3368661956392108
36,5,0.55,True,574,92.36025167577318,0.20014310388693854
36,6,0.65,True,585,91.96522677895354,0.18577562819953078
36,7,0.75,True,346,92.31808666974648,0.2800422346006887
36,8,0.85,True,237,91.80941509971858,0.341628532766252
36,9,0.95,True,1010,92.40721150292968,0.21508187010840937
