layer,rel_bin,rel_bin_mid,questions,auc_mean,auc_neg_mean,best_auc
24,0,0.05,206,0.5066256356911696,0.4933743643088303,0.5066256356911696
24,1,0.15,52,0.4846764346764347,0.5153235653235654,0.5153235653235654
24,2,0.25,111,0.5160195910195909,0.483980408980409,0.5160195910195909
24,3,0.35,146,0.4850293542074364,0.5149706457925636,0.5149706457925636
24,4,0.45,58,0.4017241379310345,0.5982758620689655,0.5982758620689655
24,5,0.55,159,0.5117749825296996,0.4882250174703004,0.5117749825296996
24,6,0.65,156,0.5122507122507123,0.4877492877492878,0.5122507122507123
24,7,0.75,100,0.5170238095238096,0.4829761904761905,0.5170238095238096
24,8,0.85,65,0.6037728937728938,0.3962271062271063,0.6037728937728938
24,9,0.95,206,0.4832610957004161,0.5167389042995839,0.5167389042995839
36,0,0.05,206,0.45893146093388804,0.541068539066112,0.541068539066112
36,1,0.15,52,0.48705738705738705,0.512942612942613,0.512942612942613
36,2,0.25,111,0.4408551408551409,0.5591448591448591,0.5591448591448591
36,3,0.35,146,0.5184496629702109,0.4815503370297891,0.5184496629702109
36,4,0.45,58,0.5425424192665571,0.45745758073344284,0.5425424192665571
36,5,0.55,159,0.47160327443346306,0.5283967255665369,0.5283967255665369
36,6,0.65,156,0.5058251933251933,0.49417480667480673,0.5058251933251933
36,7,0.75,100,0.5102619047619047,0.4897380952380952,0.5102619047619047
36,8,0.85,65,0.4889743589743589,0.5110256410256411,0.5110256410256411
36,9,0.95,206,0.4707842117429496,0.5292157882570504,0.5292157882570504
