layer,rel_bin,rel_bin_mid,questions,gap_mean,gap_se
24,0,0.05,206,2.026049175015755e-05,0.000369507518943865
24,1,0.15,52,-4.9955338753588716e-05,0.0010418182083269134
24,2,0.25,111,0.000273583323012609,0.0005836140879596107
24,3,0.35,146,0.00015306229471318136,0.0005703674978436678
24,4,0.45,58,-0.0008292507198029581,0.0006916023508980109
24,5,0.55,159,-6.731730603931897e-05,0.00057897861363314
24,6,0.65,156,0.001022810806768002,0.0006609828505529489
24,7,0.75,100,0.0006600874987646144,0.0008393302954623396
24,8,0.85,65,0.0010940778984785892,0.0008218982803637665
24,9,0.95,206,-0.00022689886367516584,0.0003579563997759892
36,0,0.05,206,-0.0021113736782413244,0.0011943717214105704
36,1,0.15,52,-0.0009363074786054919,0.002914053823365988
36,2,0.25,111,-0.005799620583505146,0.0017293448531901221
36,3,0.35,146,0.0015643348597004613,0.001581027529374342
36,4,0.45,58,-0.0028624043460638996,0.0018545499529611746
36,5,0.55,159,-0.00303977060109676,0.0016177001059183868
36,6,0.65,156,0.0011731671143679733,0.0014651745515908267
36,7,0.75,100,0.0015573092537861308,0.0022724959818541087
36,8,0.85,65,-0.003552935895329069,0.0030651086265038496
36,9,0.95,206,-0.0011269418509481646,0.0005673259029255533
