layer,rel_bin,rel_bin_mid,questions,auc_mean,auc_neg_mean,best_auc
24,0,0.05,206,0.5016007859454462,0.49839921405455384,0.5016007859454462
24,1,0.15,52,0.6019688644688646,0.3980311355311355,0.6019688644688646
24,2,0.25,111,0.4944873444873445,0.5055126555126555,0.5055126555126555
24,3,0.35,146,0.5608569797782126,0.43914302022178736,0.5608569797782126
24,4,0.45,58,0.5504105090311987,0.4495894909688013,0.5504105090311987
24,5,0.55,159,0.5174752920035939,0.48252470799640607,0.5174752920035939
24,6,0.65,156,0.5195500101750101,0.48044998982498993,0.5195500101750101
24,7,0.75,100,0.49410714285714286,0.5058928571428571,0.5058928571428571
24,8,0.85,65,0.5272893772893772,0.47271062271062275,0.5272893772893772
24,9,0.95,206,0.47334720295885346,0.5266527970411465,0.5266527970411465
36,0,0.05,206,0.4633581830790568,0.5366418169209431,0.5366418169209431
36,1,0.15,52,0.4941391941391941,0.505860805860806,0.505860805860806
36,2,0.25,111,0.5321929071929072,0.46780709280709276,0.5321929071929072
36,3,0.35,146,0.5436412807131985,0.45635871928680155,0.5436412807131985
36,4,0.45,58,0.6013957307060755,0.3986042692939245,0.6013957307060755
36,5,0.55,159,0.5101926724568234,0.4898073275431766,0.5101926724568234
36,6,0.65,156,0.48345797720797723,0.5165420227920228,0.5165420227920228
36,7,0.75,100,0.49383333333333335,0.5061666666666667,0.5061666666666667
36,8,0.85,65,0.5452747252747253,0.4547252747252748,0.5452747252747253
36,9,0.95,206,0.5154790799815071,0.4845209200184929,0.5154790799815071
