layer,rel_bin,rel_bin_mid,questions,gap_mean,gap_se
24,0,0.05,206,-0.0002733290928781142,0.00039706657321962656
24,1,0.15,52,0.0010567272487895646,0.0015661488947911406
24,2,0.25,111,0.00019940754553315866,0.000796874846783476
24,3,0.35,146,0.0007756849755414902,0.0006780343824052243
24,4,0.45,58,0.0008101973518928829,0.0009631381481452067
24,5,0.55,159,0.0008884554152694454,0.0006817425943550037
24,6,0.65,156,0.0002951263568356519,0.0007420580957666844
24,7,0.75,100,0.0006199853589637674,0.0008341628906588397
24,8,0.85,65,0.001338709464319416,0.0010621312041240514
24,9,0.95,206,-0.000363305735484697,0.00041569751835471817
36,0,0.05,206,-0.0021015704575191277,0.0010891083126633653
36,1,0.15,52,-0.005256119209543247,0.003927443138158751
36,2,0.25,111,0.00024064236436059105,0.0018928708403730598
36,3,0.35,146,0.0016851363558370374,0.0015943857221629018
36,4,0.45,58,0.0007874159421119437,0.002448609749573932
36,5,0.55,159,0.0012859999058668502,0.0017006654647663895
36,6,0.65,156,0.00012684248788619062,0.0020357290800406738
36,7,0.75,100,-0.001154166458732641,0.002319328832012634
36,8,0.85,65,0.0010066620866624747,0.002776756182928339
36,9,0.95,206,0.0013534069840408602,0.00101070218929242
