layer,rel_bin,rel_bin_mid,is_correct,rollouts,mean,se
24,0,0.05,False,594,87.2868459769368,0.08659965046253064
24,1,0.15,False,594,86.36040544398529,0.08244280342543425
24,2,0.25,False,594,86.17154206461313,0.07857987787965441
24,3,0.35,False,594,86.12720249190593,0.07881045117599636
24,4,0.45,False,594,86.0600520631749,0.07864041396526067
24,5,0.55,False,594,85.99237275737694,0.07882272355502522
24,6,0.65,False,594,85.91715546036431,0.07895829438427607
24,7,0.75,False,594,85.88934147389196,0.07789833020865786
24,8,0.85,False,594,85.79563823386788,0.07782845018123967
24,9,0.95,False,594,85.61292229367277,0.07594664153910462
24,0,0.05,True,1010,87.66864081115202,0.07023630854908071
24,1,0.15,True,1010,86.5679652560225,0.06678218295904327
24,2,0.25,True,1010,86.37212079637848,0.06511670910043428
24,3,0.35,True,1010,86.29527364309314,0.06453853686475602
24,4,0.45,True,1010,86.22808387226144,0.06481869352215351
24,5,0.55,True,1010,86.1770960636089,0.06405401395384805
24,6,0.65,True,1010,86.17697879121069,0.06402641430300772
24,7,0.75,True,1010,86.05013291220095,0.06483390908716533
24,8,0.85,True,1010,85.94132222398147,0.06417623630704458
24,9,0.95,True,1010,85.7718139710594,0.062099207779079096
36,0,0.05,False,594,89.67757993731215,0.21415458378896932
36,1,0.15,False,594,89.06500934967968,0.21541099153444696
36,2,0.25,False,594,88.67665881541824,0.21760571887365615
36,3,0.35,False,594,88.56567609889187,0.22151378560703286
36,4,0.45,False,594,88.52705281932919,0.2237449711733889
36,5,0.55,False,594,88.22005447732657,0.2269598670994344
36,6,0.65,False,594,88.22812911763955,0.2278801582344591
36,7,0.75,False,594,88.09483875645694,0.23128797273529397
36,8,0.85,False,594,88.03062138838101,0.23160435019886624
36,9,0.95,False,594,87.39949455375945,0.2244255627238029
36,0,0.05,True,1010,89.14077353642269,0.17370185091904985
36,1,0.15,True,1010,88.67284504788545,0.177558966310795
36,2,0.25,True,1010,88.37045079326576,0.1794497045978261
36,3,0.35,True,1010,88.2068628581734,0.18021756370512318
36,4,0.45,True,1010,88.05043179510037,0.17927866693945496
36,5,0.55,True,1010,87.85589195761143,0.1803089906443875
36,6,0.65,True,1010,87.65970770755644,0.1822819639933917
36,7,0.75,True,1010,87.68182926180613,0.1820603821668237
36,8,0.85,True,1010,87.7058925309245,0.18127787010455987
36,9,0.95,True,1010,86.9891361748869,0.17631190205285213
