layer,rel_bin,rel_bin_mid,questions,gap_mean,gap_se
24,0,0.05,206,-8.200583064608055e-05,0.00017228773932363828
24,1,0.15,206,0.00024674375855325076,0.00021596928380965678
24,2,0.25,206,-5.501704192979574e-05,0.00025290437322218084
24,3,0.35,206,-5.2248905902997526e-05,0.0002410493482287045
24,4,0.45,206,-9.496551717030914e-05,0.00022670160716474656
24,5,0.55,206,-7.946192196990703e-07,0.000226526472053616
24,6,0.65,206,0.00018087893275590576,0.00027528138887427365
24,7,0.75,206,-2.105782734040773e-06,0.00021526540456276823
24,8,0.85,206,0.000245445013103705,0.00028294635048775493
24,9,0.95,206,0.00045545196805840617,0.00023652518133969602
36,0,0.05,206,-4.569995701383249e-05,0.0002935148956722025
36,1,0.15,206,-0.0007598801479597051,0.000390507519198462
36,2,0.25,206,-0.0006025699038312802,0.000480186307347105
36,3,0.35,206,-0.0001405326260574682,0.0006517354317581269
36,4,0.45,206,-0.0006581665665462217,0.0005767384370018015
36,5,0.55,206,-0.000263409809046672,0.000526345992851627
36,6,0.65,206,-0.0005316526563067939,0.0006001695281715694
36,7,0.75,206,-0.0007686904708774924,0.0005053959571747894
36,8,0.85,206,-0.0007509599374666626,0.000497600911123787
36,9,0.95,206,-0.0004052039096687001,0.00046829217971624664
