layer,rel_bin,rel_bin_mid,is_correct,rollouts,mean,se
24,0,0.05,False,594,89.67942340695514,0.01680561701485818
24,1,0.15,False,594,89.91533776737512,0.012964065334914938
24,2,0.25,False,594,89.96629385067585,0.01046430055326764
24,3,0.35,False,594,89.98929143202508,0.011426738538176813
24,4,0.45,False,594,89.96486022764387,0.01077213495699007
24,5,0.55,False,594,89.9927564939531,0.00995477874484663
24,6,0.65,False,594,89.98345366106885,0.01033141388106943
24,7,0.75,False,594,89.98451530526317,0.011197749550879507
24,8,0.85,False,594,89.97007975744329,0.009497968114781851
24,9,0.95,False,594,89.95422097624785,0.009278507396000408
24,0,0.05,True,1010,89.6631958980176,0.012845344979281826
24,1,0.15,True,1010,89.87942259606598,0.012038365049777844
24,2,0.25,True,1010,89.9508832666093,0.008762079270637099
24,3,0.35,True,1010,89.9783050658085,0.008670104719609337
24,4,0.45,True,1010,89.96581507487444,0.008173435428434524
24,5,0.55,True,1010,89.99550204383111,0.007717199773390459
24,6,0.65,True,1010,89.98883509302898,0.008948094097035432
24,7,0.75,True,1010,89.96750035140161,0.008525023956667101
24,8,0.85,True,1010,89.99268503800083,0.00813168445061451
24,9,0.95,True,1010,89.94732469779787,0.0083294621127177
36,0,0.05,False,594,90.06375012545399,0.044156760244818516
36,1,0.15,False,594,89.94295885071591,0.028680489449577014
36,2,0.25,False,594,89.91391628045876,0.03161764557397165
36,3,0.35,False,594,90.0174460537081,0.03739538400818828
36,4,0.45,False,594,90.0139729612639,0.03088782588595199
36,5,0.55,False,594,89.91373097692933,0.02926285823009641
36,6,0.65,False,594,90.00176923278222,0.02762892531395336
36,7,0.75,False,594,89.9458450251528,0.029723064827993136
36,8,0.85,False,594,90.00197921612545,0.028765369390665242
36,9,0.95,False,594,89.44192400529185,0.045976108052085525
36,0,0.05,True,1010,89.95273360657963,0.034232858723828564
36,1,0.15,True,1010,89.98827819983528,0.023356197601435494
36,2,0.25,True,1010,89.95402925931755,0.02223501879437122
36,3,0.35,True,1010,90.01255090039115,0.02382560452393882
36,4,0.45,True,1010,89.92441533132246,0.023699497447822338
36,5,0.55,True,1010,89.96789835070766,0.02356980693576979
36,6,0.65,True,1010,89.94160732700794,0.024504302180084966
36,7,0.75,True,1010,89.9961839473893,0.02530435528053287
36,8,0.85,True,1010,89.98474275642495,0.02338175575531537
36,9,0.95,True,1010,89.46865655518175,0.031073116988831296
