layer,rel_bin,rel_bin_mid,questions,auc_mean,auc_neg_mean,best_auc
24,0,0.05,206,0.48914990753582993,0.5108500924641701,0.5108500924641701
24,1,0.15,206,0.48687297734627827,0.5131270226537217,0.5131270226537217
24,2,0.25,206,0.5079634766527971,0.49203652334720294,0.5079634766527971
24,3,0.35,206,0.514791377716135,0.485208622283865,0.514791377716135
24,4,0.45,206,0.5044700647249191,0.495529935275081,0.5044700647249191
24,5,0.55,206,0.512248613037448,0.48775138696255205,0.512248613037448
24,6,0.65,206,0.5022855987055016,0.4977144012944984,0.5022855987055016
24,7,0.75,206,0.4896353444290336,0.5103646555709663,0.5103646555709663
24,8,0.85,206,0.5103126444752659,0.48968735552473414,0.5103126444752659
24,9,0.95,206,0.48393146093388817,0.5160685390661119,0.5160685390661119
36,0,0.05,206,0.49211453999075355,0.5078854600092465,0.5078854600092465
36,1,0.15,206,0.47563280166435506,0.5243671983356449,0.5243671983356449
36,2,0.25,206,0.49921983356449373,0.5007801664355063,0.5007801664355063
36,3,0.35,206,0.4902132454923717,0.5097867545076282,0.5097867545076282
36,4,0.45,206,0.5182212205270458,0.4817787794729542,0.5182212205270458
36,5,0.55,206,0.5416782246879335,0.4583217753120666,0.5416782246879335
36,6,0.65,206,0.4937066574202497,0.5062933425797503,0.5062933425797503
36,7,0.75,206,0.4831166204345815,0.5168833795654184,0.5168833795654184
36,8,0.85,206,0.5168660425335183,0.48313395746648174,0.5168660425335183
36,9,0.95,206,0.5166377716134998,0.4833622283865002,0.5166377716134998
