layer,rel_bin,rel_bin_mid,questions,gap_mean,gap_se
24,0,0.05,206,-9.028945728766517e-05,0.00012020342811417016
24,1,0.15,206,-7.432709392194681e-05,0.00011542542326592609
24,2,0.25,206,4.799799860885786e-06,0.00011036442759244979
24,3,0.35,206,0.0001031405397716506,0.00012092390647916271
24,4,0.45,206,-8.996792269428876e-05,0.00015485732279562115
24,5,0.55,206,7.964503235348578e-05,0.00013947346210620227
24,6,0.65,206,-8.971279924789794e-05,0.0001542641742451939
24,7,0.75,206,0.00015901212149149274,0.00017373959426568298
24,8,0.85,206,7.086001340607976e-05,0.00012651217894970386
24,9,0.95,206,-4.9206497509079773e-05,0.00011218856099367955
36,0,0.05,206,-9.113580109192698e-05,0.0003178165754948196
36,1,0.15,206,-0.00014525549523179031,0.0003603262377445111
36,2,0.25,206,0.00019491479627100155,0.000351897233037246
36,3,0.35,206,-3.901381450960101e-05,0.0003692358837214727
36,4,0.45,206,0.00016876616553021046,0.0003969998010335049
36,5,0.55,206,0.00035829209999994487,0.000339053822838226
36,6,0.65,206,-0.0001250567120330651,0.0004298971259679347
36,7,0.75,206,-0.0003196349425628951,0.0004065816224434872
36,8,0.85,206,0.0002333692347847052,0.00039919883022357876
36,9,0.95,206,0.0003453264822877289,0.0002999427061330063
