layer,chunk_id,feature,n_questions,mean_auc_pos,median_auc_pos,ci_low_pos,ci_high_pos,mean_auc_neg,median_auc_neg
36,3,cos_mean,782,0.5797507408760605,0.5833333333333334,0.5585493608675354,0.6011146251979053,0.42024925912393946,0.41666666666666663
24,3,cos_p10,782,0.5636179109324889,0.5714285714285714,0.5413745280720984,0.5858018524438761,0.43638208906751114,0.4285714285714286
36,2,cos_mean,894,0.5634578850182878,0.5714285714285714,0.543290271785448,0.5826455414846775,0.4365421149817123,0.4285714285714286
24,3,cos_mean,782,0.5556994174481387,0.5773809523809523,0.5331682664007632,0.5790784275666788,0.4443005825518613,0.4226190476190476
24,3,av_cos_mean,782,0.5513739191328705,0.5,0.5290910567125401,0.5747805471826412,0.4486260808671295,0.5
24,2,cos_p10,894,0.549724574766521,0.5714285714285714,0.5291073925375518,0.5701903119562516,0.4502754252334789,0.4285714285714286
24,2,av_cos_mean,894,0.5459804783210823,0.5444444444444445,0.5259986938940379,0.5649633247221335,0.4540195216789176,0.45555555555555555
24,2,cos_mean,894,0.5425415468200703,0.5590277777777778,0.5237650695998011,0.5636864202709421,0.4574584531799297,0.4409722222222222
36,2,av_cos_mean,894,0.5420177728063634,0.5333333333333333,0.5209795905685167,0.5610108450072796,0.4579822271936366,0.4666666666666667
36,3,av_cos_mean,782,0.5420051353874883,0.5,0.5198568865952178,0.5635313717878454,0.45799486461251165,0.5
36,3,cos_p10,782,0.5356500933706816,0.5,0.5128847607883733,0.5566471806113751,0.46434990662931847,0.5
36,1,cos_mean,1046,0.5343415202282316,0.5333333333333333,0.517151691819175,0.5519778483413761,0.46565847977176855,0.4666666666666667
36,1,av_cos_mean,1046,0.5296511275000759,0.5333333333333333,0.514065056033567,0.5466051226896113,0.47034887249992413,0.4666666666666667
36,2,cos_p10,894,0.528135763999858,0.5,0.5082476874045666,0.5486992538439686,0.47186423600014205,0.5
36,0,cos_mean,1117,0.5177393741740205,0.5333333333333333,0.5007286204544485,0.5333831452231742,0.4822606258259795,0.4666666666666667
24,1,cos_mean,1046,0.5171664921545418,0.5166666666666666,0.4982877088454885,0.5332475331193663,0.4828335078454582,0.48333333333333334
36,1,cos_p10,1046,0.5131766138577802,0.5,0.4952180785076937,0.5299662546663024,0.4868233861422198,0.5
24,1,av_cos_mean,1046,0.5116769477070624,0.5,0.4935379108622417,0.5280530042641659,0.48832305229293754,0.5
24,1,cos_p10,1046,0.5094835958602689,0.5,0.4913204782390967,0.5275702648411181,0.4905164041397311,0.5
24,1,spike_rate_90,1046,0.5086484984369783,0.5,0.49605829511138433,0.5215856939891954,0.49135150156302165,0.5
24,3,spike_rate_90,782,0.5001339666301302,0.5,0.48252454151950636,0.5171445412404092,0.49986603336986973,0.5
24,2,spike_rate_90,894,0.49765189446397495,0.5,0.4829226756418451,0.5129057251162955,0.502348105536025,0.5
24,0,cos_p10,1117,0.49713678219721186,0.5,0.4798343644754231,0.5139719486720381,0.5028632178027882,0.5
24,0,cos_mean,1117,0.49701528328430755,0.5,0.48047280662488806,0.5120060243210982,0.5029847167156926,0.5
24,0,spike_rate_90,1117,0.493359658097796,0.5,0.48213606279575394,0.5044957994948203,0.506640341902204,0.5
36,0,cos_p10,1117,0.49049697318497665,0.5,0.47447305175427373,0.5063387794688152,0.5095030268150232,0.5
36,0,spike_rate_90,1117,0.48258062625229137,0.5,0.46794393731082407,0.4981244204821589,0.5174193737477086,0.5
36,1,spike_rate_90,1046,0.46600124434732465,0.4583333333333333,0.4500783170581808,0.48201240932957,0.5339987556526753,0.5416666666666667
36,2,spike_rate_90,894,0.4397181607542346,0.43333333333333335,0.42062787687315795,0.4594228776055538,0.5602818392457654,0.5666666666666667
36,3,spike_rate_90,782,0.4351135925384647,0.4375,0.4137796128415134,0.45619149426074773,0.5648864074615354,0.5625
