layer,chunk,feature,native_questions,native_auc_pos,native_auc_neg,common_questions,common_auc_pos,common_auc_neg,common_pool_size
24,2,cos_mean,894,0.5425415468200703,0.4574584531799297,893,0.5426691729323307,0.45733082706766925,1015
24,3,cos_mean,782,0.5556994174481387,0.44430058255186133,782,0.5556994174481387,0.44430058255186133,1015
24,2,cos_p10,894,0.549724574766521,0.45027542523347897,893,0.5500202189871842,0.44997978101281577,1015
24,3,cos_p10,782,0.5636179109324889,0.4363820890675111,782,0.5636179109324889,0.4363820890675111,1015
24,2,spike_rate_90,894,0.49765189446397495,0.502348105536025,893,0.4977292522085355,0.5022707477914645,1015
24,3,spike_rate_90,782,0.5001339666301302,0.4998660333698698,782,0.5001339666301302,0.4998660333698698,1015
24,2,av_cos_mean,894,0.5459804783210823,0.4540195216789177,893,0.5461119554204661,0.4538880445795339,1015
24,3,av_cos_mean,782,0.5513739191328705,0.4486260808671295,782,0.5513739191328705,0.4486260808671295,1015
24,2,cos_min,894,0.5562817371542204,0.44371826284577964,893,0.5562647754137116,0.44373522458628845,1015
24,3,cos_min,782,0.5852900580522064,0.41470994194779365,782,0.5852900580522064,0.41470994194779365,1015
36,2,cos_mean,894,0.5634578850182878,0.43654211498171225,893,0.5634489592776267,0.4365510407223733,1015
36,3,cos_mean,782,0.5797507408760605,0.4202492591239395,782,0.5797507408760605,0.4202492591239395,1015
36,2,cos_p10,894,0.528135763999858,0.47186423600014205,893,0.5284072326205584,0.47159276737944156,1015
36,3,cos_p10,782,0.5356500933706816,0.4643499066293184,782,0.5356500933706816,0.4643499066293184,1015
36,2,spike_rate_90,894,0.4397181607542346,0.5602818392457654,893,0.4398906175011998,0.5601093824988002,1015
36,3,spike_rate_90,782,0.4351135925384647,0.5648864074615353,782,0.4351135925384647,0.5648864074615353,1015
36,2,av_cos_mean,894,0.5420177728063634,0.45798222719363657,893,0.5423047867896692,0.4576952132103308,1015
36,3,av_cos_mean,782,0.5420051353874883,0.4579948646125117,782,0.5420051353874883,0.4579948646125117,1015
36,2,cos_min,894,0.5409196228827101,0.4590803771172899,893,0.5412054071348584,0.45879459286514157,1015
36,3,cos_min,782,0.5621417407542727,0.4378582592457273,782,0.5621417407542727,0.4378582592457273,1015
