question_id,question_accuracy,mean_response_length,max_chunk,total_rows,has_chunk_2,has_chunk_3
1,0.7878787878787878,937.2121212121212,4,66,True,True
10,0.5833333333333334,794.375,4,48,True,True
1000,0.25,1026.0,4,80,True,True
1008,0.10256410256410256,1022.9230769230769,4,78,True,True
101,0.21052631578947367,1000.1052631578947,4,76,True,True
1010,0.125,1026.0,4,80,True,True
1011,0.4642857142857143,827.0,4,56,True,True
1018,0.21875,912.90625,4,64,True,True
102,0.125,1026.0,4,80,True,True
1020,0.4,803.68,4,50,True,True
1021,0.47368421052631576,991.6578947368421,4,76,True,True
1022,0.5161290322580645,926.0967741935484,4,62,True,True
1023,0.23076923076923078,875.6923076923077,4,52,True,True
1024,0.125,1026.0,4,80,True,True
1025,0.42857142857142855,957.6571428571428,4,70,True,True
1027,0.53125,895.875,4,64,True,True
1028,0.10256410256410256,1006.5128205128206,4,78,True,True
1029,0.47368421052631576,997.5,4,76,True,True
1030,0.375,1026.0,4,80,True,True
1031,0.696969696969697,941.7878787878788,4,66,True,True
1033,0.8275862068965517,799.3793103448276,4,58,True,True
1035,0.4642857142857143,803.1785714285714,4,56,True,True
1037,0.23076923076923078,1022.6923076923077,4,78,True,True
1038,0.2647058823529412,945.7941176470588,4,68,True,True
1039,0.125,1026.0,4,80,True,True
104,0.24242424242424243,928.1818181818181,4,66,True,True
1040,0.23076923076923078,1008.7692307692307,4,78,True,True
1041,0.47368421052631576,987.2631578947369,4,76,True,True
1042,0.6428571428571429,848.2142857142857,4,56,True,True
1043,0.125,1026.0,4,80,True,True
1044,0.8,744.56,4,50,True,True
1045,0.4117647058823529,943.3235294117648,4,68,True,True
1046,0.875,319.125,1,32,False,False
1048,0.6,773.6,4,50,True,True
1049,0.375,921.125,4,64,True,True
105,0.5833333333333334,714.125,4,48,True,True
1050,0.2647058823529412,944.0,4,68,True,True
1055,0.125,1026.0,4,80,True,True
1056,0.6153846153846154,748.6538461538462,4,52,True,True
1057,0.3103448275862069,868.6206896551724,4,58,True,True
1058,0.6153846153846154,794.8461538461538,4,52,True,True
1059,0.5652173913043478,745.5652173913044,4,46,True,True
106,0.6052631578947368,987.6842105263158,4,76,True,True
1064,0.375,749.3333333333334,4,48,True,True
1066,0.6551724137931034,854.551724137931,4,58,True,True
1067,0.75,1026.0,4,80,True,True
1068,0.125,1026.0,4,80,True,True
1069,0.25,1026.0,4,80,True,True
1076,0.7368421052631579,997.2894736842105,4,76,True,True
1077,0.4,770.72,4,50,True,True
1078,0.5652173913043478,694.7826086956521,4,46,True,True
1079,0.6153846153846154,755.8076923076923,4,52,True,True
108,0.125,1026.0,4,80,True,True
1080,0.7857142857142857,334.35714285714283,2,28,True,False
109,0.6296296296296297,851.5555555555555,4,54,True,True
1090,0.23076923076923078,1019.4358974358975,4,78,True,True
1093,0.3055555555555556,967.5,4,72,True,True
1094,0.8529411764705882,943.0588235294117,4,68,True,True
1095,0.875,605.375,2,48,True,False
1096,0.25,1025.875,4,80,True,True
1097,0.125,1026.0,4,80,True,True
1098,0.25,1026.0,4,80,True,True
1099,0.25,1026.0,4,80,True,True
11,0.11764705882352941,947.3529411764706,4,68,True,True
110,0.1891891891891892,985.5405405405405,4,74,True,True
1106,0.7058823529411765,522.8823529411765,4,34,True,True
1108,0.23809523809523808,680.6666666666666,4,42,True,True
1117,0.9,266.9,1,20,False,False
1120,0.8,769.44,4,50,True,True
1122,0.6875,935.875,4,64,True,True
1123,0.6296296296296297,789.2962962962963,4,54,True,True
1124,0.16666666666666666,922.2,4,60,True,True
1125,0.47368421052631576,999.0,4,76,True,True
1126,0.7058823529411765,970.3529411764706,4,68,True,True
1127,0.7142857142857143,961.8571428571429,4,70,True,True
1128,0.7058823529411765,935.9705882352941,4,68,True,True
1129,0.8611111111111112,963.7222222222222,4,72,True,True
113,0.8076923076923077,754.3846153846154,4,52,True,True
1136,0.6666666666666666,190.11111111111111,1,18,False,False
1137,0.8333333333333334,238.33333333333334,1,24,False,False
1138,0.8888888888888888,198.66666666666666,1,18,False,False
1139,0.6666666666666666,210.55555555555554,1,18,False,False
114,0.6774193548387096,868.4193548387096,4,62,True,True
1140,0.375,848.125,4,48,True,True
1149,0.5,640.25,4,32,True,True
115,0.6666666666666666,866.3333333333334,4,60,True,True
1151,0.21052631578947367,995.0526315789474,4,76,True,True
1153,0.375,1026.0,4,80,True,True
1154,0.25,1026.0,4,80,True,True
1155,0.125,1026.0,4,80,True,True
1157,0.4642857142857143,829.0357142857143,4,56,True,True
1158,0.631578947368421,669.3157894736842,4,38,True,True
1159,0.6956521739130435,698.8260869565217,4,46,True,True
116,0.3103448275862069,845.3793103448276,4,58,True,True
1160,0.5454545454545454,637.5454545454545,4,44,True,True
1166,0.6153846153846154,1004.7692307692307,4,78,True,True
1167,0.25,1026.0,4,80,True,True
1168,0.30303030303030304,939.8787878787879,4,66,True,True
1169,0.1891891891891892,995.2702702702703,4,74,True,True
117,0.27586206896551724,838.5862068965517,4,58,True,True
1170,0.5833333333333334,715.9166666666666,4,48,True,True
1171,0.125,1026.0,4,80,True,True
1175,0.08108108108108109,970.8378378378378,4,74,True,True
1177,0.6153846153846154,515.7692307692307,4,26,True,True
118,0.3939393939393939,912.6363636363636,4,66,True,True
1181,0.7619047619047619,609.3809523809524,4,42,True,True
1182,0.375,902.40625,4,64,True,True
1183,0.4117647058823529,957.4705882352941,4,68,True,True
1185,0.14285714285714285,954.0285714285715,4,70,True,True
1186,0.125,1026.0,4,80,True,True
1187,0.125,1026.0,4,80,True,True
1188,0.05405405405405406,994.7027027027027,4,74,True,True
1190,0.32432432432432434,990.2702702702703,4,74,True,True
1192,0.5833333333333334,972.6111111111111,4,72,True,True
1193,0.4444444444444444,954.75,4,72,True,True
1194,0.5945945945945946,985.4054054054054,4,74,True,True
1195,0.75,1026.0,4,80,True,True
1196,0.23076923076923078,1006.0,4,78,True,True
1197,0.25,1026.0,4,80,True,True
1198,0.125,1026.0,4,80,True,True
1199,0.125,1026.0,4,80,True,True
12,0.21875,899.0625,4,64,True,True
1200,0.25,1026.0,4,80,True,True
1202,0.8076923076923077,735.0384615384615,4,52,True,True
1203,0.8484848484848485,903.8484848484849,4,66,True,True
1208,0.875,358.625,1,32,False,False
1209,0.7368421052631579,526.9473684210526,4,38,True,True
1212,0.7368421052631579,569.3684210526316,4,38,True,True
1216,0.6774193548387096,888.3548387096774,4,62,True,True
1217,0.2857142857142857,964.2,4,70,True,True
1218,0.5,1026.0,4,80,True,True
1219,0.25,1025.875,4,80,True,True
122,0.1891891891891892,985.5675675675676,4,74,True,True
1220,0.2903225806451613,916.3870967741935,4,62,True,True
1223,0.8148148148148148,805.074074074074,4,54,True,True
1224,0.5238095238095238,740.8095238095239,4,42,True,True
1227,0.6,239.3,2,20,True,False
1228,0.5,122.75,0,16,False,False
1229,0.375,112.125,0,16,False,False
123,0.22727272727272727,673.8181818181819,4,44,True,True
1231,0.7368421052631579,992.3684210526316,4,76,True,True
1232,0.5945945945945946,989.2972972972973,4,74,True,True
1233,0.8529411764705882,932.3235294117648,4,68,True,True
1234,0.17857142857142858,822.7142857142857,4,56,True,True
1238,0.75,547.8,4,40,True,True
124,0.05405405405405406,984.8108108108108,4,74,True,True
1240,0.6875,546.125,4,32,True,True
1241,0.10256410256410256,1015.7179487179487,4,78,True,True
1242,0.375,1025.875,4,80,True,True
1243,0.5,1026.0,4,80,True,True
1244,0.125,1026.0,4,80,True,True
1245,0.5,1025.875,4,80,True,True
125,0.4827586206896552,832.4137931034483,4,58,True,True
1251,0.8214285714285714,834.2857142857143,4,56,True,True
1252,0.375,934.375,4,64,True,True
1253,0.4594594594594595,991.1351351351351,4,74,True,True
1254,0.5945945945945946,989.4594594594595,4,74,True,True
1255,0.7916666666666666,731.75,4,48,True,True
1259,0.6,502.73333333333335,4,30,True,True
126,0.42105263157894735,468.5263157894737,3,38,True,True
