layer,phase,target,spearman_rho,p_value,n
24,early,question_accuracy,-0.13092488828944795,1.1349608304426117e-05,1117
24,early,answer_entropy_norm,0.1321889258073855,9.315686415074775e-06,1117
24,early,majority_confidence,-0.13967638235710897,2.7864688797044407e-06,1117
24,mid,question_accuracy,-0.3293884570084089,3.514059125184916e-26,978
24,mid,answer_entropy_norm,0.26564667083741944,2.932914740965671e-17,978
24,mid,majority_confidence,-0.2747699030713882,2.1172685833126235e-18,978
24,late,question_accuracy,-0.47374820148220925,1.0463288079474294e-51,903
24,late,answer_entropy_norm,0.3597395956351061,5.633427727260305e-29,903
24,late,majority_confidence,-0.33733679271238276,1.8056567650271188e-25,903
36,early,question_accuracy,-0.09118872385549047,0.0022837407159866144,1117
36,early,answer_entropy_norm,0.09964684377587137,0.0008532197605982297,1117
36,early,majority_confidence,-0.1191061097846665,6.594350956475893e-05,1117
36,mid,question_accuracy,-0.32557557097373085,1.3919485207455222e-25,978
36,mid,answer_entropy_norm,0.24854669130952778,3.096762668470356e-15,978
36,mid,majority_confidence,-0.26347145429773805,5.408253694956465e-17,978
36,late,question_accuracy,-0.46364989896087705,2.5262659928640637e-49,903
36,late,answer_entropy_norm,0.3559793035238416,2.2864074193942907e-28,903
36,late,majority_confidence,-0.33503088428001226,3.995297290902761e-25,903
